id;tournament;continent;eventing_dir;sofascore;scoresway2425;scoresway2526;last_scraping_ss;last_scraping_sw;last_eventing
73;La Liga;Europe;Spain_Primera_Division;8;4x7uzww3jur4re7sgt3mslyj8;80zg2v1cuqcfhphn56u4qpyqc;2026-06-18 18:20:39;2026-06-18 18:20:46;2026-06-19 07:36:37
82;Premier League;Europe;England_Premier_League;17;9n12waklv005j8r32sfjj2eqc;51r6ph2woavlbbpk8f29nynf8;2026-06-19 07:58:15;2026-06-19 07:58:23;2026-06-19 07:58:43
75;Bundesliga;Europe;Germany_Bundesliga;35;73zebisnu1109jix9yoc09yc4;2bchmrj23l9u42d68ntcekob8;2026-06-19 08:27:21;2026-06-19 08:27:27;2026-06-19 08:27:47
41;Serie A;Europe;Italy_Serie_A;23;b25u56idqlgo8s1rahhltqd5g;emdmtfr1v8rey2qru3xzfwges;2026-06-19 08:49:50;2026-06-19 08:49:58;2026-06-19 08:50:26
46;Ligue 1;Europe;France_Ligue_1;34;a7htj8rtzib7a2xx7b3xs04d0;dbxs75cag7zyip5re0ppsanmc;2026-06-19 09:08:07;2026-06-19 09:08:14;2026-06-19 09:08:33
14;Champions League;Europe;UEFA_UEFA_Champions_League;7;bam3j6qs1v79osuz7nwgy4rh0;2mr0u0l78k2gdsm79q56tb2fo;2026-06-19 09:28:47;2026-06-19 09:28:53;2026-06-19 09:31:10
72;Europa League;Europe;UEFA_UEFA_Europa_League;679;ejcp3vqc3ac7q66lowlv41ixg;7ttpe5jzya3vjhjadiemjy7mc;2026-06-19 09:49:53;2026-06-19 09:49:58;2026-06-19 09:52:10
11;Copa del Rey;Europe;Spain_Copa_del_Rey;329;8xdpm013ubhszzhxydmpq3wno;3lmujqli8r9m12i28wgjxnnys;2026-06-19 10:09:26;2026-06-19 10:09:38;2026-06-19 10:09:47
97;La Liga Hypermotion;Europe;Spain_Segunda_Division;54;9991qneanhxxxo8ioi14pw7bo;dko0hzifl1xv9c51s3ai017v8;2026-06-19 10:38:43;2026-06-19 10:39:36;2026-06-19 14:15:34
56;Championship;Europe;England_Championship;18;d5obohxqafuwcthuh43ksmpec;bmmk637l2a33h90zlu36kx8no;2026-06-19 14:49:43;2026-06-19 14:49:55;2026-06-19 14:50:10
65;Eredivise;Europe;Netherlands_Eredivise;37;a5vwgkycmfxord0dj13qhwahg;aouykkl1rt7zo06sg0kbzkbh0;2026-06-19 15:09:49;2026-06-19 15:09:59;
64;Liga Portugal;Europe;Portugal_Primeira_Liga;238;5fhu9jbajfxnsuu1x77033sic;7l4z25o4hc0fmj9rdspcisdn8;2026-06-19 22:34:27;2026-06-19 22:34:37;
98;Conference League;Europe;UEFA_UEFA_Conference_League;17015;cc4kfcd13e029cj3nawmm0hec;7x2zp2hm4p6wuijwdw3h7a8t0;2026-06-19 23:13:00;2026-06-19 23:13:11;
54;Copa Libertadores;South-America;CONMEBOL_Libertadores;16940;168tc8nsaknvru654r6qwupsk;dk8bg66qizwked9etonwaaln8;;;
13;Liga MX;North-America;Mexico_Liga_MX;11620;dlxyh3nrdtg02p9ohd5gn6bdg;aegyls91smdw9kipjgbsu8tn8;2026-06-19 23:23:18;2026-06-19 23:23:28;
66;Serie A Brazil;South-America;Brazil_Serie_A;325;9pqtmpr3w8jm73y0eb8hmum8k;752zalnunu0zkdfbbm915kys4;;;
36;Liga Profesional;South-America;Argentina_Serie_A;155;3l4bzc8syz1ea2dnv453kp89g;8v84l9nq3d5t0j4gb781i3llg;;;
45;First Division A;Europe;Belgium_First_Division_A;38;809rv2nlzkn8gmn27a2ckuql0;16lkdpoccbh056r0v0bordo2c;2026-06-19 23:42:46;2026-06-19 23:42:55;
43;Major League Soccer;North-America;USA_MLS;242;2p9ipxt6ftkdphe5afitgd0;6i6n0jkbh9zzij6s8htfjh2j8;;;
23;Saudi Pro League;Asia;Saudi_Arabia_Saudi_League;955;cft78hoktv5hddrnbl5z4d0yc;6ru2ri6bqeg9l7av4ppdpdx5g;2026-06-20 00:04:02;2026-06-20 00:04:11;
24;Super Lig;Europe;Türkiye_Süper_Lig;52;1c0t9lv2rftjjx8dxn5s9csus;97zghcaoec1isvvdkh9ud50d0;2026-06-20 00:25:19;2026-06-20 00:25:29;
10;Superligaen;Europe;Denmark_Superliga;39;1zqurbs9rmwtk30us5y1v1rtg;3o8l1yf2irp018eaa2far455g;2026-06-20 00:36:37;2026-06-20 00:36:44;
19;Swiss Super League;Europe;Switzerland_Super_League;215;di2qqbngtlz7uub98l52shb10;d5ju52a9misru35821zuqysd0;2026-06-20 00:51:23;2026-06-20 00:51:31;
44;Allvenskan;Europe;Sweden_Allvenskan;40;7nzwafv5w7z5tjzy2dsfkc26s;b99u9gpztyjs5u1i88z6qvg9g;;;
12;Eliteserien;Europe;Norway_Eliteserien;20;59ghbl9ewb73y9y90c1d8hclw;beev3xu6oz7vc6l4rcxygw4d0;;;
42;CONMEBOL Sudamericana;South-America;CONMEBOL_Sudamericana;480;bfz5665mze2yubs4s5t21f66s;cup6pcsd1c7669pbvoptcmlg4;;;
